(´｡• ᵕ •｡`) ♡,love heart in love affection romantic heart love symbol
ฅ(^･ω･^ฅ),cute kawaii adorable sweet lovely greeting hello hi wave welcome cat kitty kitten meow animal creature
/(^ x ^)\\,cute kawaii adorable sweet lovely animal creature pet
(๑˃̵ᴗ˂̵)و,excited hype thrilled pumped yay sparkle shine glitter star
(*ﾉдﾉ),shy blush bashful timid
(｀Δ´)！,angry mad rage furious annoyed
♪♪ ヽ(ˇ∀ˇ )ゞ,happy smile glad cheerful joy celebrate congrats party cheers hooray music song singing note
(ﾉ*-*)ﾉ ~┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
¯\\_(ಠ_ಠ)_/¯,disgusted gross ew yuck repulsed dissatisfied unimpressed
ヾ(＠⌒ー⌒＠)ノ,happy smile glad cheerful joy laugh laughing lol haha giggle greeting hello hi wave welcome
˚｡⋆୨୧˚,cute kawaii adorable sweet lovely sparkle shine glitter star
(￣▽￣*)ゞ,happy smile glad cheerful joy
(*ﾉωﾉ),cute kawaii adorable sweet lovely
(°⌂°),cute kawaii adorable sweet lovely animal creature pet
✨(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧,excited hype thrilled pumped yay sparkle shine glitter star
(っ˘̩╭╮˘̩),sad unhappy down gloomy depressed
(‡▼益▼),angry mad rage furious annoyed
(っ˘ω˘ς )♪,happy smile glad cheerful joy celebrate congrats party cheers hooray music song singing note
┻━┻︵ヽ(`Д´)ﾉ︵﻿ ┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
乁( ⁰͡ Ĺ̯ ⁰͡ ) ㄏ,indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
⋆｡°✩,cute kawaii adorable sweet lovely sparkle shine glitter star
(*_*),surprised shocked shock wow startled thinking think pondering hmm wondering sick ill unwell nauseous under the weather
(≧∀≦)ゞ,happy smile glad cheerful joy
(^･o･^)ﾉ,happy smile glad cheerful joy greeting hello hi wave welcome cat kitty kitten meow animal creature
(≧(エ)≦),cute kawaii adorable sweet lovely animal creature pet
( ͡~ ͜ʖ ͡°),cool confident swag badass slick
｡*ﾟ+.*.｡(ノ˘◡˘)ノ,excited hype thrilled pumped yay sparkle shine glitter star
(*ﾟ｀ω´ﾟ*),shy blush bashful timid
(´；ω；`),sad unhappy down gloomy depressed
(ﾒ￣▽￣)ﾉ,angry mad rage furious annoyed
(╯‵□′)╯︵┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
┐(´～`)┌,indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
𖥔 ݁ ˖,cute kawaii adorable sweet lovely sparkle shine glitter star
(＾◇＾),
(o^▽^o),happy smile glad cheerful joy
(⌐▨_▨),cool confident swag badass slick
(★^O^★),excited hype thrilled pumped yay sparkle shine glitter star
(//ω//),shy blush bashful timid
(#`Д´)ﾉ,angry mad rage furious annoyed
(〜￣▽￣)〜,happy smile glad cheerful joy celebrate congrats party cheers hooray
┬──┬ ノ( ゜-゜ノ),angry mad rage furious annoyed table flip flip table rage quit throw table
(°▽°)/,happy smile glad cheerful joy greeting hello hi wave welcome
˚₊‧꒰ა ♡ ໒꒱ ‧₊˚,cute kawaii adorable sweet lovely sparkle shine glitter star heart love symbol
(・ω・)ノ,
(・ω・)……………,embarrassed awkward cringe ashamed
(๑･̀ㅂ･́),cute kawaii adorable sweet lovely
(˘⌣˘)♡,love heart in love affection romantic heart love symbol
ʕ￫ᴥ￩ʔﾉ,happy smile glad cheerful joy greeting hello hi wave welcome bear teddy animal creature
(・(ｪ)・),cute kawaii adorable sweet lovely animal creature pet
(￣ー￣)b,cool confident swag badass slick
☆*:.｡.o(≧▽≦)o.｡.:*☆,excited hype thrilled pumped yay sparkle shine glitter star
(＞ω＜),shy blush bashful timid
(;_;),sad unhappy down gloomy depressed
(＃￣0￣),angry mad rage furious annoyed
〜(꒪꒳꒪)〜,happy smile glad cheerful joy celebrate congrats party cheers hooray
(ノ°Д°）ノ︵┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
"ㄟ( ▔, ▔ )ㄏ",indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
(＾▽＾)ノ,happy smile glad cheerful joy greeting hello hi wave welcome
⤥ ⤦,cute kawaii adorable sweet lovely sparkle shine glitter star
(ﾟдﾟ),surprised shocked shock wow startled
(・ω・)ﾉ⌒～～～,sad unhappy down gloomy depressed
(＾ω＾),happy smile glad cheerful joy
(*・ω・),cute kawaii adorable sweet lovely
(♥ω♥ ),love heart in love affection romantic heart love symbol
ʕ·ᴥ·　ʔ,cute kawaii adorable sweet lovely bear teddy animal creature
(=ﾟωﾟ)ﾉ,cute kawaii adorable sweet lovely animal creature pet
(・`ω´・),cool confident swag badass slick
(*ﾉ▿ﾉ),shy blush bashful timid
"(╯︵╰,)",sad unhappy down gloomy depressed table flip flip table rage quit throw table
(ノToT)ノ ┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
¯\\_(⌐■_■)_/¯,indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
